Player,Pos,Squad,Age,Born,MP,Min,90s,CrdY,CrdR
Dženis Burnić,MF,ba Bosnia–Herz,28,1998,2,16,0.2,0,0
Gustavo Caballero,"FW,MF",py Paraguay,24,2001,2,96,1.1,0,0
Jovane Cabral,FW,cv Cabo Verde,28,1998,2,139,1.5,0,0
Liberato Cacace,DF,nz New Zealand,25,2000,3,220,2.4,0,0
Juan Cáceres,DF,py Paraguay,26,2000,5,436,4.8,1,0
Sebastián Cáceres,DF,uy Uruguay,26,1999,3,270,3.0,0,0
Jordy Caicedo,FW,ec Ecuador,28,1997,3,20,0.2,0,0
Moisés Caicedo,MF,ec Ecuador,24,2001,4,360,4.0,1,0
Uğurcan Çakır,GK,tr Türkiye,30,1996,3,270,3.0,0,0
Hakan Çalhanoğlu,MF,tr Türkiye,32,1994,2,180,2.0,0,0
Lamine Camara,MF,sn Senegal,22,2004,4,248,2.8,1,0
Jaminton Campaz,"FW,MF",co Colombia,26,2000,3,75,0.8,0,0
İrfan Can Kahveci,MF,tr Türkiye,30,1995,1,1,0.0,0,0
José Canale,DF,py Paraguay,29,1996,4,161,1.8,0,0
João Cancelo,DF,pt Portugal,32,1994,5,312,3.5,0,0
Agustín Canobbio,FW,uy Uruguay,27,1998,3,224,2.5,0,1
Casemiro,MF,br Brazil,34,1992,5,379,4.2,2,0
Josué Casimir,MF,ht Haiti,24,2001,3,182,2.0,1,0
Timothy Castagne,DF,be Belgium,30,1995,6,478,5.3,1,0
Kevin Castaño,MF,co Colombia,25,2000,2,16,0.2,0,0
Jens Castrop,MF,kr Korea Republic,22,2003,1,45,0.5,0,0
Zeki Çelik,DF,tr Türkiye,29,1997,2,163,1.8,0,0
Lukáš Červ,MF,cz Czechia,25,2001,2,163,1.8,0,0
Fares Chaïbi,MF,dz Algeria,23,2002,4,360,4.0,1,0
Trevoh Chalobah,"DF,MF",eng England,26,1999,1,1,0.0,0,0
Štěpán Chaloupek,DF,cz Czechia,23,2003,1,90,1.0,0,0
Mouhib Chamakh,GK,tn Tunisia,24,2001,1,90,1.0,0,0
Firas Chaouat,FW,tn Tunisia,30,1996,3,49,0.5,0,0
Luis Chávez,MF,mx Mexico,30,1996,1,25,0.3,0,0
Mateo Chávez,DF,mx Mexico,22,2004,1,77,0.9,0,0
Samir Chergui,DF,dz Algeria,27,1999,1,20,0.2,0,0
Rayan Cherki,MF,fr France,22,2003,7,130,1.4,0,0
Mathieu Choinière,MF,ca Canada,27,1999,1,57,0.6,0,0
Tahith Chong,MF,cw Curaçao,26,1999,3,247,2.7,0,0
Tomáš Chorý,FW,cz Czechia,31,1995,2,31,0.3,0,0
Ryan Christie,MF,sct Scotland,31,1995,3,95,1.1,1,0
Carney Chukwuemeka,MF,at Austria,22,2003,3,83,0.9,0,0
Mojmír Chytil,FW,cz Czechia,27,1999,1,7,0.1,0,0
Brian Cipenga,"MF,FW",cd Congo DR,28,1998,2,146,1.6,0,0
Alessandro Circati,DF,au Australia,22,2003,4,390,4.3,1,0
Pathé Ciss,DF,sn Senegal,32,1994,4,184,2.0,0,0
Livano Comenencia,MF,cw Curaçao,22,2004,3,233,2.6,1,0
Eray Cömert,DF,ch Switzerland,28,1998,1,31,0.3,0,0
Francisco Conceição,MF,pt Portugal,23,2002,4,126,1.4,0,0
Jhon Córdoba,FW,co Colombia,33,1993,3,99,1.1,0,0
José Córdoba,DF,pa Panama,25,2001,3,270,3.0,0,0
Derek Cornelius,DF,ca Canada,28,1997,4,315,3.5,1,0
Diogo Costa,GK,pt Portugal,26,1999,5,450,5.0,0,0
Nuno da Costa,FW,cv Cabo Verde,35,1991,4,159,1.8,0,0
Samu Costa,MF,pt Portugal,25,2000,1,21,0.2,0,0
Vladimír Coufal,"MF,DF",cz Czechia,33,1992,3,270,3.0,0,0
Thibaut Courtois,GK,be Belgium,34,1992,6,550,6.1,0,0
Maxime Crépeau,GK,ca Canada,32,1994,5,450,5.0,0,0
Max Crocombe,GK,nz New Zealand,32,1993,3,270,3.0,0,0
Pau Cubarsí,DF,es Spain,19,2007,8,750,8.3,1,0
Andrés Cubas,MF,py Paraguay,30,1996,5,480,5.3,1,0
Cucho,"FW,MF",co Colombia,27,1999,2,50,0.6,0,0
Marc Cucurella,DF,es Spain,27,1998,8,750,8.3,1,0
Matheus Cunha,FW,br Brazil,27,1999,5,290,3.2,0,0
Findlay Curtis,MF,sct Scotland,19,2006,2,9,0.1,1,0
Aymen Dahmen,GK,tn Tunisia,29,1997,2,180,2.0,0,0
Diogo Dalot,"DF,MF",pt Portugal,27,1999,2,65,0.7,0,0
Danilo,DF,br Brazil,34,1991,5,405,4.5,2,0
Kevin Danso,DF,at Austria,27,1998,4,241,2.7,0,0
Vladimír Darida,MF,cz Czechia,35,1990,1,54,0.6,0,0
Jonathan David,FW,ca Canada,26,2000,5,420,4.7,1,0
Promise David,FW,ca Canada,24,2001,4,80,0.9,0,0
Alphonso Davies,"DF,FW",ca Canada,25,2000,1,16,0.2,0,0
Erick Davis,DF,pa Panama,35,1991,2,4,0.0,0,0
Nasser Al-Dawsari,MF,sa Saudi Arabia,27,1998,3,207,2.3,1,0
Salem Al-Dawsari,MF,sa Saudi Arabia,34,1991,3,245,2.7,1,0
Mohammad Al-Dawud,"FW,MF",jo Jordan,34,1992,1,3,0.0,0,0
Kevin De Bruyne,MF,be Belgium,34,1991,5,382,4.2,1,0
